year,mo,da,temp,dewp,visib,wdsp,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
2010,1,1,72.8,47.8,2.5,2.9,0,0,0,0,0,0,0
2010,1,1,82,72.3,2.5,3.9,0,0,0,0,0,0,0
2010,1,1,59.3,48.2,1.1,1.1,0,0,0,0,0,0,0
2010,1,1,65.4,42.5,2.3,1.5,0,0,0,0,0,0,0
2010,1,1,77.6,64.2,3.9,1.3,0,0,0,0,0,0,0
2010,1,1,57.2,49.1,1.5,0.6,0,1,0,0,0,0,0
2010,1,1,72.3,49.2,2.9,3.6,0,0,0,0,0,0,0
2010,1,1,60,37.5,2.1,2.6,0,0,0,0,0,0,0
2010,1,2,76.6,68.4,3.4,1,0,0,0,0,0,0,0
2010,1,2,61.3,55.4,1.1,1.2,0,0,0,0,0,0,0
2010,1,2,68,42.1,1.2,2.5,0,0,1,0,0,0,0
2010,1,2,50.3,48,0.4,0.4,0,1,0,0,0,0,0
2010,1,2,51.9,49.3,0.4,0.7,0,1,0,0,0,0,0
2010,1,2,55.2,52.3,0.4,0.5,0,1,0,0,0,0,0
2010,1,2,62.1,41.6,2.5,1.1,0,0,0,0,0,0,0
2010,1,2,52.7,51.6,0.2,0.2,0,1,0,0,0,0,0
2010,1,2,56.9,42.7,2.3,0.6,0,0,0,0,0,0,0
2010,1,2,72.6,54.7,2.5,4.2,0,0,0,0,0,0,0
2010,1,2,56.7,47.1,0.8,0,0,1,0,0,0,0,0
2010,1,2,62.5,45.8,2.3,2.5,0,0,0,0,0,0,0
2010,1,2,73.4,63,3.9,1.1,0,0,0,0,0,0,0
2010,1,2,72.9,57.5,3.9,2.1,0,0,0,0,0,0,0
2010,1,2,71.1,57.2,3.9,2.1,0,0,0,0,0,0,0
2010,1,2,52.2,45.3,1.2,0.1,0,1,0,0,0,0,0
2010,1,2,54.7,46.1,1.2,1.8,0,0,0,0,0,0,0
2010,1,2,45.4,41.3,0.3,1.1,0,1,0,0,0,0,0
2010,1,2,82.7,64.5,1.7,4.6,0,0,0,0,0,0,0
2010,1,2,50.7,49.7,0.2,4.1,0,1,0,0,0,0,0
2010,1,2,54.7,51.6,0.5,0.5,0,1,0,0,0,0,0
2010,1,2,62.1,56.4,2,0,0,0,0,0,0,0,0
2010,1,2,61.8,55.1,0.9,0.8,0,1,0,0,0,0,0
2010,1,2,57.1,40.7,1.5,2.1,0,0,0,0,0,0,0
2010,1,2,56.4,37.1,2.5,0.6,0,0,0,0,0,0,0
2010,1,2,76.5,67.4,2.5,3.2,0,0,0,0,0,0,0
2010,1,2,51.8,49.9,0.1,1.6,99.99,1,1,0,0,0,0
2010,1,2,62.9,46.5,2.1,3,0,0,0,0,0,0,0
2010,1,2,72.5,56.6,2.5,1.3,0,0,0,0,0,0,0
2010,1,2,82,68.6,2.2,1.5,0,0,0,0,0,0,0
2010,1,2,62.3,45.7,2.3,1.2,0,0,0,0,0,0,0
2010,1,2,55.2,46.8,1.4,0.2,0,1,0,0,0,0,0
2010,1,2,77.4,61.9,2.5,3.2,0,0,0,0,0,0,0
2010,1,2,71.9,61.6,2.5,2.9,0,0,0,0,0,0,0
2010,1,2,77.1,70.9,4.3,2.8,0,0,0,0,0,0,0
2010,1,2,76.7,61.8,1.7,3.4,0,0,0,0,0,0,0
2010,1,2,76.3,64.8,3.4,1.5,0,0,0,0,0,0,0
2010,1,2,52.9,49.3,0.6,2,0,1,0,0,0,0,0
2010,1,2,65.3,46.5,2.9,2.9,0,0,0,0,0,0,0
2010,1,2,73,48.7,2.8,7.8,0,0,0,0,0,0,0
2010,1,2,68.2,54.8,4.4,5.2,0,0,0,0,0,0,0
2010,1,2,66.3,41,2.5,2.5,0,0,0,0,0,0,0
2010,1,2,70.7,59.8,2.5,4,0,0,0,0,0,0,0
2010,1,2,56.3,49.6,1.7,0.5,0,0,0,0,0,0,0
2010,1,2,54.8,47.9,1.3,0.2,0,1,0,0,0,0,0
2010,1,2,61,54.2,1.5,0.2,0,1,0,0,0,0,0
2010,1,2,61,49.9,1.2,1,0,0,0,0,0,0,0
2010,1,2,62.7,40.2,2.5,0.4,0,0,0,0,0,0,0
2010,1,2,70.6,47.6,3,0.3,0,0,0,0,0,0,0
2010,1,2,61.7,47,2.3,0.4,0,0,0,0,0,0,0
2010,1,2,70.1,55.8,2.3,0,0,0,0,0,0,0,0
